epoch,acc,nmi,ari,loss
1,0.145689655,0.039283004,0.007916176,10.58740902
2,0.21637931,0.10792399,0.04611235,10.88589859
4,0.369827586,0.336896765,0.1990341,10.26665306
6,0.437931034,0.397314868,0.251341701,9.912246704
8,0.485344828,0.450593402,0.29552216,9.805693626
10,0.563793103,0.481392506,0.362791966,9.75418663
12,0.549137931,0.514482979,0.382453639,9.722206116
14,0.556034483,0.514839894,0.38695642,9.731665611
16,0.524137931,0.500427396,0.370671145,9.720444679
18,0.564655172,0.522119059,0.389228497,9.723626137
20,0.570689655,0.5275405,0.39781973,9.692064285
22,0.626724138,0.554828347,0.434225974,9.700140953
24,0.568965517,0.529250217,0.401468875,9.690923691
26,0.590517241,0.545617311,0.417831477,9.679953575
28,0.631034483,0.561541242,0.447937686,9.668899536
30,0.637068966,0.562894702,0.455154714,9.664256096
32,0.635344828,0.565239875,0.45300246,9.678173065
34,0.636206897,0.582859783,0.467055215,9.675204277
36,0.635344828,0.576526963,0.462651596,9.671509743
38,0.648275862,0.586012142,0.480125553,9.668516159
40,0.637931034,0.573095329,0.454051059,9.678349495
42,0.668965517,0.59998069,0.495537827,9.681153297
44,0.662068966,0.594963827,0.489345662,9.677945137
46,0.609482759,0.569181142,0.437270939,9.677976608
48,0.670689655,0.612488256,0.502979612,9.693284035
50,0.695689655,0.629405411,0.528383062,9.658721924
52,0.705172414,0.631987347,0.537012569,9.672082901
54,0.65862069,0.620211414,0.511771619,9.662831306
56,0.656896552,0.620071039,0.513257338,9.679458618
58,0.576724138,0.572961673,0.434543737,9.670422554
60,0.644827586,0.617325622,0.505794975,9.676790237
62,0.680172414,0.641796405,0.524678032,9.685975075
64,0.612931034,0.611195346,0.488349067,9.655569077
66,0.695689655,0.633736915,0.530787595,9.670084953
68,0.611206897,0.616900408,0.491976593,9.649405479
70,0.648275862,0.622450054,0.500828434,9.661026955
72,0.694827586,0.650209736,0.533811631,9.649879456
74,0.685344828,0.638464897,0.525218477,9.65973568
76,0.655172414,0.624979186,0.514474837,9.654460907
78,0.660344828,0.64670288,0.529565374,9.651065826
80,0.659482759,0.634521597,0.51725541,9.674427986
82,0.710344828,0.658350555,0.551550143,9.661849022
84,0.663793103,0.643557602,0.528219743,9.646746635
86,0.730172414,0.684638359,0.582521704,9.665596008
88,0.761206897,0.70473223,0.619921619,9.662906647
90,0.728448276,0.681372859,0.58516395,9.655637741
92,0.763793103,0.703682318,0.624191966,9.671124458
94,0.632758621,0.637427048,0.515436798,9.650414467
96,0.662931034,0.649884648,0.540973438,9.662200928
98,0.642241379,0.641818031,0.519935288,9.652852058
100,0.636206897,0.650238682,0.51995413,9.653153419
102,0.709482759,0.680551302,0.58115349,9.670783997
104,0.657758621,0.655602578,0.543746444,9.671525002
106,0.665517241,0.67072222,0.55425308,9.655060768
108,0.685344828,0.684092405,0.565124164,9.66247654
110,0.65,0.651337405,0.531655201,9.658283234
112,0.724137931,0.699551995,0.595737128,9.660817146
114,0.705172414,0.680259924,0.572782759,9.637750626
116,0.654310345,0.658789548,0.542360682,9.642361641
118,0.682758621,0.672316999,0.566900787,9.653409004
120,0.711206897,0.688423403,0.594271077,9.651475906
122,0.642241379,0.644747713,0.515116964,9.647731781
124,0.754310345,0.707200714,0.620763897,9.654590607
126,0.731896552,0.698415593,0.600006166,9.64404583
128,0.76637931,0.724449106,0.647031581,9.67080307
130,0.831034483,0.740427483,0.682405122,9.664253235
132,0.825862069,0.739223244,0.675620267,9.640485764
134,0.825862069,0.737176438,0.671654678,9.64756012
136,0.725862069,0.701959706,0.600773773,9.654859543
138,0.843103448,0.752006316,0.701093412,9.648887634
140,0.780172414,0.744684264,0.665619292,9.651362419
142,0.778448276,0.743537338,0.661182621,9.653349876
144,0.778448276,0.732853901,0.658668992,9.638228416
146,0.838793103,0.760892675,0.699607909,9.646479607
148,0.838793103,0.764274795,0.698282256,9.664073944
150,0.822413793,0.742487312,0.677830817,9.655808449
